SchoolDist,Shape_Length,Shape_Area
4,20980.973747235646442,8536884.940579712390900
9,17920.408667786927253,13482250.588580898940563
6,27767.210839101193415,15658604.546966865658760
3,20926.388669501808181,18398192.840438105165958
5,17954.071522627531522,8528958.185101676732302
2,83546.465011629115907,45284752.099266529083252
30,61407.898507606652856,51570339.185844637453556
18,48590.945541002016398,28293630.466911561787128
26,52987.857029898616020,68752608.216583028435707
29,54351.568306315290101,67973006.140434160828590
12,19626.235113582333724,11223879.643251843750477
8,89484.192903144677985,42021479.544509425759315
10,38311.211119726489414,45962092.429171726107597
17,27473.663155782134709,20757939.700354799628258
14,39030.011514115576574,24327643.888204537332058
16,14416.924276352465313,7562850.008960402570665
11,122824.915620315514388,63948382.841990180313587
7,26308.169404798532923,14976220.184953579679132
23,16206.951489974813740,7662333.623616255819798
21,49725.192988488473929,33915737.335855454206467
20,37895.610119024102460,39185569.446169085800648
25,70957.210931959256413,71939353.308169111609459
22,108018.566283254767768,62263252.119684651494026
31,172687.740576054027770,258632114.157573193311691
28,46569.298882756607782,40052825.632857285439968
13,34568.563086392379773,16960197.790847599506378
15,61683.634535801225866,31703832.805280484259129
19,69924.876939571739058,32304345.548708561807871
27,229855.793157186999451,127692964.439528599381447
1,11529.059641836427545,5693620.125438947230577
24,51711.703699032361328,63957213.762279212474823
32,14977.802407601431696,8396644.226024916395545
10,3179.493065340024259,533991.890036458149552
